timestamp, temperature_gpu, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
1642433543651502973, 37, 107, 350,1695,9501,1695
1642433543654664680, 37, 107, 350,1695,9501,1695
1642433543657034392, 37, 107, 350,1695,9501,1695
1642433543659407790, 37, 107, 350,1695,9501,1695
1642433543661785256, 37, 107, 350,1695,9501,1695
1642433543664405814, 37, 107, 350,1695,9501,1695
1642433543667678392, 37, 107, 350,1695,9501,1695
1642433543671967581, 37, 107, 350,1695,9501,1695
1642433543676340297, 37, 107, 350,1695,9501,1695
1642433543678769716, 37, 107, 350,1695,9501,1695
1642433543681113608, 37, 107, 350,1695,9501,1695
1642433543683465994, 37, 107, 350,1695,9501,1695
1642433543685800854, 37, 107, 350,1695,9501,1695
1642433543688138404, 37, 107, 350,1695,9501,1695
1642433543692420427, 37, 107, 350,1695,9501,1695
1642433543696619616, 37, 107, 350,1695,9501,1695
1642433543699358867, 37, 107, 350,1695,9501,1695
1642433543701725123, 37, 107, 350,1695,9501,1695
1642433543704075039, 37, 107, 350,1695,9501,1695
1642433543706420293, 37, 107, 350,1695,9501,1695
1642433543708766476, 37, 107, 350,1695,9501,1695
1642433543712452847, 37, 107, 350,1695,9501,1695
1642433543717795541, 37, 107, 350,1695,9501,1695
1642433543720184989, 37, 107, 350,1695,9501,1695
1642433543722572371, 37, 107, 350,1695,9501,1695
1642433543724925328, 37, 107, 350,1695,9501,1695
1642433543727514919, 37, 107, 350,1695,9501,1695
1642433543729870399, 37, 107, 350,1695,9501,1695
1642433543733395557, 37, 107, 350,1695,9501,1695
1642433543737622942, 37, 107, 350,1695,9501,1695
1642433543741586651, 37, 107, 350,1695,9501,1695
1642433543743916896, 37, 107, 350,1695,9501,1695
1642433543746251532, 37, 107, 350,1695,9501,1695
1642433543748608170, 37, 107, 350,1695,9501,1695
1642433543750948926, 37, 107, 350,1695,9501,1695
1642433543754070784, 37, 107, 350,1695,9501,1695
1642433543758337764, 37, 107, 350,1695,9501,1695
1642433543762679071, 37, 107, 350,1695,9501,1695
1642433543765050001, 37, 107, 350,1695,9501,1695
1642433543767388916, 37, 107, 350,1695,9501,1695
1642433543769867346, 37, 107, 350,1695,9501,1695
1642433543772494414, 37, 107, 350,1695,9501,1695
1642433543775869632, 37, 108, 350,1695,9501,1695
1642433543780778231, 37, 108, 350,1695,9501,1695
1642433543785085381, 37, 108, 350,1695,9501,1695
1642433543787489985, 37, 108, 350,1695,9501,1695
1642433543789840714, 37, 108, 350,1695,9501,1695
1642433543792186128, 37, 108, 350,1695,9501,1695
1642433543794541739, 37, 108, 350,1695,9501,1695
1642433543798571289, 37, 108, 350,1695,9501,1695
1642433543802745463, 37, 108, 350,1695,9501,1695
1642433543806114271, 37, 108, 350,1695,9501,1695
1642433543808474454, 37, 108, 350,1695,9501,1695
1642433543810807297, 37, 108, 350,1695,9501,1695
1642433543813202135, 37, 108, 350,1695,9501,1695
1642433543815553456, 37, 108, 350,1695,9501,1695
1642433543819084921, 37, 108, 350,1695,9501,1695
1642433543823289443, 37, 108, 350,1695,9501,1695
1642433543826728428, 37, 108, 350,1695,9501,1695
1642433543829304788, 37, 108, 350,1695,9501,1695
1642433543831653853, 37, 108, 350,1695,9501,1695
1642433543834227430, 37, 108, 350,1695,9501,1695
1642433543836588713, 37, 108, 350,1695,9501,1695
1642433543839783554, 37, 108, 350,1695,9501,1695
1642433543843969765, 37, 108, 350,1695,9501,1695
1642433543848093160, 37, 108, 350,1695,9501,1695
1642433543850434916, 37, 108, 350,1695,9501,1695
1642433543852792294, 37, 108, 350,1695,9501,1695
1642433543855134644, 37, 108, 350,1695,9501,1695
1642433543857486023, 37, 108, 350,1695,9501,1695
1642433543859930502, 37, 108, 350,1695,9501,1695
1642433543864110174, 37, 108, 350,1695,9501,1695
1642433543868295574, 37, 108, 350,1695,9501,1695
1642433543870839106, 37, 108, 350,1695,9501,1695
1642433543873177412, 37, 108, 350,1695,9501,1695
1642433543875517759, 37, 108, 350,1695,9501,1695
1642433543878121394, 37, 108, 350,1695,9501,1695
1642433543880880831, 37, 108, 350,1695,9501,1695
1642433543885200406, 37, 108, 350,1695,9501,1695
1642433543889758039, 37, 108, 350,1695,9501,1695
1642433543892234264, 37, 108, 350,1695,9501,1695
1642433543894591860, 37, 108, 350,1695,9501,1695
1642433543896934300, 37, 108, 350,1695,9501,1695
1642433543899274565, 37, 108, 350,1695,9501,1695
1642433543901616049, 37, 108, 350,1695,9501,1695
1642433543905099603, 37, 108, 350,1695,9501,1695
1642433543909294827, 37, 108, 350,1695,9501,1695
1642433543912777451, 37, 108, 350,1695,9501,1695
1642433543915005967, 37, 108, 350,1695,9501,1695
1642433543917352700, 37, 108, 350,1695,9501,1695
1642433543919696213, 37, 108, 350,1695,9501,1695
1642433543922041616, 37, 108, 350,1695,9501,1695
1642433543924904419, 37, 108, 350,1695,9501,1695
1642433543929154218, 37, 108, 350,1695,9501,1695
1642433543933076383, 37, 108, 350,1695,9501,1695
1642433543935514769, 37, 108, 350,1695,9501,1695
1642433543937954351, 37, 108, 350,1695,9501,1695
1642433543940295211, 37, 108, 350,1695,9501,1695
1642433543942673118, 37, 108, 350,1695,9501,1695
1642433543945022722, 37, 108, 350,1695,9501,1695
1642433543949319881, 37, 108, 350,1695,9501,1695
1642433543953523314, 37, 108, 350,1695,9501,1695
1642433543956873445, 37, 108, 350,1695,9501,1695
1642433543959215515, 37, 108, 350,1695,9501,1695
1642433543961554069, 37, 108, 350,1695,9501,1695
1642433543964124780, 37, 108, 350,1695,9501,1695
1642433543966486651, 37, 108, 350,1695,9501,1695
1642433543970549337, 37, 108, 350,1695,9501,1695
1642433543974838862, 37, 108, 350,1695,9501,1695
1642433543977935522, 37, 108, 350,1695,9501,1695
1642433543980268823, 37, 108, 350,1695,9501,1695
1642433543982609990, 37, 108, 350,1695,9501,1695
1642433543985282362, 37, 108, 350,1695,9501,1695
1642433543988222077, 37, 109, 350,1695,9501,1695
1642433543992400350, 37, 109, 350,1695,9501,1695
1642433543997380985, 37, 109, 350,1695,9501,1695
1642433544000421454, 37, 109, 350,1695,9501,1695
1642433544002759559, 37, 109, 350,1695,9501,1695
1642433544005109135, 37, 109, 350,1695,9501,1695
1642433544007471770, 37, 109, 350,1695,9501,1695
1642433544009928058, 37, 109, 350,1695,9501,1695
1642433544013867437, 37, 109, 350,1695,9501,1695
1642433544018089559, 37, 109, 350,1695,9501,1695
1642433544020954744, 37, 109, 350,1695,9501,1695
1642433544023292553, 37, 109, 350,1695,9501,1695
1642433544025616617, 37, 109, 350,1695,9501,1695
1642433544027954595, 37, 109, 350,1695,9501,1695
1642433544030299615, 37, 109, 350,1695,9501,1695
1642433544034152742, 37, 109, 350,1695,9501,1695
1642433544039511416, 37, 109, 350,1695,9501,1695
1642433544041898396, 37, 109, 350,1695,9501,1695
1642433544044346441, 37, 109, 350,1695,9501,1695
1642433544046709830, 37, 109, 350,1695,9501,1695
1642433544049224814, 37, 109, 350,1695,9501,1695
1642433544051573388, 37, 109, 350,1695,9501,1695
1642433544055204820, 37, 109, 350,1695,9501,1695
1642433544059459605, 37, 109, 350,1695,9501,1695
1642433544063230662, 37, 109, 350,1695,9501,1695
1642433544065578244, 37, 109, 350,1695,9501,1695
1642433544067902301, 37, 109, 350,1695,9501,1695
1642433544070245184, 37, 109, 350,1695,9501,1695
1642433544072588819, 37, 109, 350,1695,9501,1695
1642433544075691467, 37, 109, 350,1695,9501,1695
1642433544079963190, 37, 109, 350,1695,9501,1695
1642433544083975664, 37, 109, 350,1695,9501,1695
1642433544086320337, 37, 109, 350,1695,9501,1695
1642433544088668018, 37, 109, 350,1695,9501,1695
1642433544091006575, 37, 109, 350,1695,9501,1695
1642433544093461308, 37, 109, 350,1695,9501,1695
1642433544096525201, 37, 110, 350,1695,9501,1695
1642433544100642262, 37, 110, 350,1695,9501,1695
1642433544105041273, 37, 110, 350,1695,9501,1695
1642433544107494926, 37, 110, 350,1695,9501,1695
1642433544109830442, 37, 110, 350,1695,9501,1695
1642433544112163384, 37, 110, 350,1695,9501,1695
1642433544114512437, 37, 110, 350,1695,9501,1695
1642433544116859034, 37, 110, 350,1695,9501,1695
1642433544121040460, 37, 110, 350,1695,9501,1695
1642433544125306179, 37, 110, 350,1695,9501,1695
1642433544128421213, 37, 110, 350,1695,9501,1695
1642433544130782614, 37, 110, 350,1695,9501,1695
1642433544133139179, 37, 110, 350,1695,9501,1695
1642433544135477366, 37, 110, 350,1695,9501,1695
1642433544137830730, 37, 110, 350,1695,9501,1695
1642433544141698597, 37, 110, 350,1695,9501,1695
1642433544147000307, 37, 110, 350,1695,9501,1695
1642433544149519451, 37, 110, 350,1695,9501,1695
1642433544152251638, 37, 110, 350,1695,9501,1695
1642433544154561486, 37, 110, 350,1695,9501,1695
1642433544157091944, 37, 110, 350,1695,9501,1695
1642433544159386447, 37, 110, 350,1695,9501,1695
1642433544163203736, 37, 110, 350,1695,9501,1695
1642433544167493062, 37, 110, 350,1695,9501,1695
1642433544171601177, 37, 110, 350,1695,9501,1695
1642433544173899330, 37, 110, 350,1695,9501,1695
1642433544176181326, 37, 110, 350,1695,9501,1695
1642433544178480425, 37, 110, 350,1695,9501,1695
1642433544180768545, 37, 110, 350,1695,9501,1695
