timestep, temperature_gpu, type, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
116, 37, shfl_nested, 109, 350,1695,9501,1695
117, 37, shfl_nested, 109, 350,1695,9501,1695
118, 37, shfl_nested, 109, 350,1695,9501,1695
119, 37, shfl_nested, 109, 350,1695,9501,1695
120, 37, shfl_nested, 109, 350,1695,9501,1695
121, 37, shfl_nested, 109, 350,1695,9501,1695
122, 37, shfl_nested, 109, 350,1695,9501,1695
123, 37, shfl_nested, 109, 350,1695,9501,1695
124, 37, shfl_nested, 109, 350,1695,9501,1695
125, 37, shfl_nested, 110, 350,1695,9501,1695
126, 37, shfl_nested, 110, 350,1695,9501,1695
127, 37, shfl_nested, 110, 350,1695,9501,1695
128, 37, shfl_nested, 110, 350,1695,9501,1695
129, 37, shfl_nested, 110, 350,1695,9501,1695
130, 37, shfl_nested, 110, 350,1695,9501,1695
131, 37, shfl_nested, 110, 350,1695,9501,1695
132, 37, shfl_nested, 110, 350,1695,9501,1695
133, 37, shfl_nested, 110, 350,1695,9501,1695
134, 37, shfl_nested, 110, 350,1695,9501,1695
135, 37, shfl_nested, 110, 350,1695,9501,1695
136, 37, shfl_nested, 110, 350,1695,9501,1695
137, 37, shfl_nested, 110, 350,1695,9501,1695
138, 37, shfl_nested, 110, 350,1695,9501,1695
139, 37, shfl_nested, 110, 350,1695,9501,1695
140, 37, shfl_nested, 110, 350,1695,9501,1695
141, 37, shfl_nested, 110, 350,1695,9501,1695
142, 37, shfl_nested, 110, 350,1695,9501,1695
143, 37, shfl_nested, 110, 350,1695,9501,1695
144, 37, shfl_nested, 110, 350,1695,9501,1695
145, 37, shfl_nested, 110, 350,1695,9501,1695
146, 37, shfl_nested, 110, 350,1695,9501,1695
147, 37, shfl_nested, 110, 350,1695,9501,1695
148, 37, shfl_nested, 110, 350,1695,9501,1695
149, 37, shfl_nested, 110, 350,1695,9501,1695
150, 37, shfl_nested, 110, 350,1695,9501,1695
151, 37, shfl_nested, 110, 350,1695,9501,1695
152, 37, shfl_nested, 110, 350,1695,9501,1695
153, 37, shfl_nested, 110, 350,1695,9501,1695
154, 37, shfl_nested, 110, 350,1695,9501,1695
155, 37, shfl_nested, 110, 350,1695,9501,1695
156, 37, shfl_nested, 110, 350,1695,9501,1695
157, 37, shfl_nested, 110, 350,1695,9501,1695
158, 37, shfl_nested, 110, 350,1695,9501,1695
159, 37, shfl_nested, 110, 350,1695,9501,1695
160, 37, shfl_nested, 110, 350,1695,9501,1695
161, 37, shfl_nested, 110, 350,1695,9501,1695
162, 37, shfl_nested, 110, 350,1695,9501,1695
163, 37, shfl_nested, 110, 350,1695,9501,1695
164, 37, shfl_nested, 110, 350,1695,9501,1695
165, 37, shfl_nested, 110, 350,1695,9501,1695
166, 37, shfl_nested, 110, 350,1695,9501,1695
167, 37, shfl_nested, 110, 350,1695,9501,1695
168, 37, shfl_nested, 110, 350,1695,9501,1695
169, 37, shfl_nested, 110, 350,1695,9501,1695
170, 37, shfl_nested, 110, 350,1695,9501,1695
171, 37, shfl_nested, 110, 350,1695,9501,1695
172, 37, shfl_nested, 110, 350,1695,9501,1695
173, 37, shfl_nested, 110, 350,1695,9501,1695
174, 37, shfl_nested, 110, 350,1695,9501,1695
175, 37, shfl_nested, 110, 350,1695,9501,1695
176, 37, shfl_nested, 110, 350,1695,9501,1695
177, 37, shfl_nested, 110, 350,1695,9501,1695
178, 37, shfl_nested, 110, 350,1695,9501,1695
179, 37, shfl_nested, 110, 350,1695,9501,1695
180, 37, shfl_nested, 110, 350,1695,9501,1695
181, 37, shfl_nested, 110, 350,1695,9501,1695
182, 37, shfl_nested, 110, 350,1695,9501,1695
183, 37, shfl_nested, 110, 350,1695,9501,1695
184, 37, shfl_nested, 110, 350,1695,9501,1695
185, 37, shfl_nested, 110, 350,1695,9501,1695
186, 37, shfl_nested, 110, 350,1695,9501,1695
187, 37, shfl_nested, 110, 350,1695,9501,1695
188, 37, shfl_nested, 110, 350,1695,9501,1695
189, 37, shfl_nested, 110, 350,1695,9501,1695
190, 37, shfl_nested, 110, 350,1695,9501,1695
191, 37, shfl_nested, 110, 350,1695,9501,1695
192, 37, shfl_nested, 110, 350,1695,9501,1695
193, 37, shfl_nested, 110, 350,1695,9501,1695
194, 37, shfl_nested, 110, 350,1695,9501,1695
195, 37, shfl_nested, 111, 350,1695,9501,1695
196, 37, shfl_nested, 111, 350,1695,9501,1695
197, 37, shfl_nested, 111, 350,1695,9501,1695
198, 37, shfl_nested, 111, 350,1695,9501,1695
199, 37, shfl_nested, 111, 350,1695,9501,1695
200, 37, shfl_nested, 111, 350,1695,9501,1695
201, 37, shfl_nested, 111, 350,1695,9501,1695
202, 37, shfl_nested, 111, 350,1695,9501,1695
