type,number_of_arrays,array_size,time
0,8,12,0.05504
1,8,12,0.029696
0,8,12,0.04848
1,8,12,0.028832
0,8,12,0.04672
1,8,12,0.02928
0,16,12,0.067968
1,16,12,0.03024
0,16,12,0.052512
1,16,12,0.03024
0,16,12,0.052192
1,16,12,0.030464
0,24,12,0.064416
1,24,12,0.03184
0,24,12,0.060256
1,24,12,0.032288
0,24,12,0.0568
1,24,12,0.03248
0,32,12,0.057792
1,32,12,0.032064
0,32,12,0.059264
1,32,12,0.037504
0,32,12,0.060608
1,32,12,0.032
0,40,12,0.061504
1,40,12,0.033504
0,40,12,0.062016
1,40,12,0.03344
0,40,12,0.06272
1,40,12,0.032416
0,48,12,0.06128
1,48,12,0.033216
0,48,12,0.0616
1,48,12,0.033504
0,48,12,0.06384
1,48,12,0.033856
0,56,12,0.061504
1,56,12,0.032928
0,56,12,0.0616
1,56,12,0.035392
0,56,12,0.063904
1,56,12,0.03248
0,64,12,0.063488
1,64,12,0.0392
0,64,12,0.061248
1,64,12,0.039168
0,64,12,0.064448
1,64,12,0.040544
0,72,12,0.0648
1,72,12,0.04032
0,72,12,0.06592
1,72,12,0.040032
0,72,12,0.063488
1,72,12,0.039712
0,80,12,0.067776
1,80,12,0.040512
0,80,12,0.065888
1,80,12,0.041632
0,80,12,0.06752
1,80,12,0.042496
0,88,12,0.065728
1,88,12,0.039648
0,88,12,0.070784
1,88,12,0.040832
0,88,12,0.067872
1,88,12,0.04112
0,96,12,0.069696
1,96,12,0.04592
0,96,12,0.068064
1,96,12,0.044512
0,96,12,0.066944
1,96,12,0.044832
0,104,12,0.070208
1,104,12,0.047936
0,104,12,0.071744
1,104,12,0.046176
0,104,12,0.073696
1,104,12,0.047456
0,112,12,0.069792
1,112,12,0.048384
0,112,12,0.070816
1,112,12,0.046592
0,112,12,0.072096
1,112,12,0.047456
0,120,12,0.070336
1,120,12,0.048544
0,120,12,0.072416
1,120,12,0.047456
0,120,12,0.071968
1,120,12,0.047456
0,128,12,0.073952
1,128,12,0.047872
0,128,12,0.071392
1,128,12,0.0464
0,128,12,0.071264
1,128,12,0.048352
0,136,12,0.088416
1,136,12,0.055648
0,136,12,0.088736
1,136,12,0.05488
0,136,12,0.088064
1,136,12,0.055328
0,144,12,0.085536
1,144,12,0.055744
0,144,12,0.088288
1,144,12,0.054816
0,144,12,0.086144
1,144,12,0.056448
0,152,12,0.088768
1,152,12,0.058144
0,152,12,0.090496
1,152,12,0.056864
0,152,12,0.088256
1,152,12,0.057248
0,160,12,0.089408
1,160,12,0.061632
0,160,12,0.090464
1,160,12,0.062464
0,160,12,0.089792
1,160,12,0.060064
0,168,12,0.100096
1,168,12,0.074816
0,168,12,0.100352
1,168,12,0.07424
0,168,12,0.103072
1,168,12,0.072352
0,176,12,0.105152
1,176,12,0.074688
0,176,12,0.105312
1,176,12,0.079296
0,176,12,0.099712
1,176,12,0.079136
0,184,12,0.102848
1,184,12,0.078976
0,184,12,0.103296
1,184,12,0.078272
0,184,12,0.103392
1,184,12,0.077664
0,192,12,0.10656
1,192,12,0.076192
0,192,12,0.103104
1,192,12,0.07648
0,192,12,0.105728
1,192,12,0.0776
0,200,12,0.116256
1,200,12,0.083616
0,200,12,0.115008
1,200,12,0.079872
0,200,12,0.112832
1,200,12,0.082144
0,208,12,0.11696
1,208,12,0.083456
0,208,12,0.11424
