type,timestamp,power
idle128_r1_wordcount_memory,1648256292385151883,32361
idle128_r1_wordcount_memory,1648256292877636140,48012
idle128_r1_wordcount_memory,1648256297932288423,162273
idle128_r1_wordcount_memory,1648256297934668747,162273
